X;Y;region;departement;commune;site;start;end;period;theme;type
636624;6889325;Ile-de-France;Val-d'Oise;Hérouville;Église Saint-Clair;2003-03-01;2004-01-01;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
650084,626;6977329,274;Picardie;Somme;Amiens;38-42  rue Lamartine;2003-09-01;2004-01-01;#Antiquité#Moyen Âge;;fouille
668703;6834002;Ile-de-France;Seine-et-Marne;Savigny-le-Temple;ZAC de la Grange du Bois, lot A1;2003-12-01;2004-01-31;#Protohistoire;#Habitats, architecture, édifices;fouille
849061;6427479;Rhône-Alpes;Drôme;Valence;Place des Ormeaux;2003-09-01;2004-02-15;#Antiquité#Moyen Âge;#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
735631,1;6280132,77;Languedoc-Roussillon;Hérault;Aigues-Vives;La Madeleine;2003-11-24;2004-02-27;#Antiquité#Moyen Âge;;fouille
651485;6861237;Ile-de-France;Paris;Paris;1 place Paul Claudel, théâtre national de l'Odéon;2003-06-16;2004-03-05;#Antiquité#Moderne, Contemporain;;fouille
892379,747;6247793,248;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;1bis, rue Malaval;2003-08-15;2004-03-15;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
936093,97;6341879,65;Provences-Alpes-Côte-d'Azur;Alpes de Haute-Provence;Peipin;Les Granges;2003-11-01;2004-03-17;#Protohistoire;;fouille
583259;6807230;Centre;Eure-et-Loir;Mignières;Le Petit Cocurtin;2004-01-05;2004-03-19;#Protohistoire#Antiquité;;fouille
571776;6689401;Centre;Loir-et-Cher;Mareuil-sur-Cher;La Jahonnière;2004-02-04;2004-03-22;#Néolithique#Protohistoire#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
775501,26;6276343,91;Languedoc-Roussillon;Hérault;Pérols;ZAC du Parc de l'Aéroport;2004-01-06;2004-03-24;#Protohistoire#Antiquité;;fouille
290918;6847386;Bretagne;Côtes-d'Armor;Pléneuf-Val-André;Piégu  1;2003-10-06;2004-03-30;#Néolithique;;fouille
